STID,FIPSCODE,STNAME,POPULATION,LATITUDE,LONGITUDE
1,1,Alabama,4779736,33.008097,-86.756826
2,2,Alaska,710231,61.399882,-148.873973
3,4,Arizona,6392017,33.368266,-111.86431
4,5,Arkansas,2915918,35.14258,-92.655243
5,6,California,37253956,35.463595,-119.325359
6,8,Colorado,5029196,39.51342,-105.208056
7,9,Connecticut,3574097,41.497001,-72.870342
8,10,Delaware,897934,39.358946,-75.556835
9,11,District of Columbia,601723,38.91027,-77.014468
10,12,Florida,18801310,27.822726,-81.634654
11,13,Georgia,9687653,33.376825,-83.882712
12,15,Hawaii,1360301,21.115289,-157.484404
13,16,Idaho,1567582,44.218532,-115.178681
14,17,Illinois,12830632,41.286759,-88.390334
15,18,Indiana,6483802,40.149246,-86.259514
16,19,Iowa,3046355,41.946066,-93.036629
17,20,Kansas,2853118,38.464949,-96.462812
18,21,Kentucky,4339367,37.824499,-85.248467
19,22,Louisiana,4533372,30.722814,-91.508833
20,23,Maine,1328361,44.29995,-69.736482
21,24,Maryland,5773552,39.140769,-76.797763
22,25,Massachusetts,6547629,42.272291,-71.36337
23,26,Michigan,9883640,42.873187,-84.203434
24,27,Minnesota,5303925,45.203555,-93.571903
25,28,Mississippi,2967297,32.590954,-89.579514
26,29,Missouri,5988927,38.423798,-92.198469
27,30,Montana,989415,46.787064,-111.296213
28,31,Nebraska,1826341,41.1743,-97.315578
29,32,Nevada,2700551,37.043481,-116.19172
30,33,New Hampshire,1316470,43.154858,-71.461974
31,34,New Jersey,8791894,40.43181,-74.432208
32,35,New Mexico,2059179,34.632744,-106.354349
33,36,New York,19378102,41.501299,-74.620909
34,37,North Carolina,9535483,35.543075,-79.658232
35,38,North Dakota,672591,47.348468,-99.309504
36,39,Ohio,11536504,40.455191,-82.773339
37,40,Oklahoma,3751351,35.598464,-96.836786
38,41,Oregon,3831074,44.743243,-122.585214
39,42,Pennsylvania,12702379,40.456756,-77.00968
40,44,Rhode Island,1052567,41.753609,-71.450869
41,45,South Carolina,4625364,34.025176,-81.011022
42,46,South Dakota,814180,44.014397,-99.002355
43,47,Tennessee,6346105,35.80809,-86.359136
44,48,Texas,25145561,30.905244,-97.365594
45,49,Utah,2763885,40.401359,-111.927035
46,50,Vermont,625741,44.094874,-72.816417
47,51,Virginia,8001024,37.810313,-77.81116
48,53,Washington,6724540,47.33075,-121.619994
49,54,West Virginia,1852994,38.795594,-80.731308
50,55,Wisconsin,5686986,43.721933,-89.018997
51,56,Wyoming,563626,42.697026,-107.019126
52,72,Puerto Rico,3725789,18.280422,-66.346513
